57;3;MarshallingArea
57;9;SequenceArea
57;16;MarshallingArea
57;2;MarshallingArea
57;4;MarshallingArea
57;5;MarshallingArea
57;15;MarshallingArea
57;10;MarshallingArea
58;16;Forklift
58;4;Forklift
58;7;Forklift
58;13;Forklift
58;15;Forklift
58;11;Forklift
59;4;Loader
59;8;Loader
59;9;Loader
59;3;Loader
59;5;Loader
59;7;Loader
59;11;Loader
59;10;Loader
60;6;Aisle
60;9;Aisle
60;15;Aisle
60;10;Aisle
61;8;Resupplier
61;9;Resupplier
61;2;Resupplier
61;3;Replenisher
61;4;Resupplier
61;5;Resupplier
61;7;Resupplier
61;11;Resupplier
61;10;Resupplier
62;6;Zone
62;7;Zone
62;9;Zone
62;15;Zone
62;10;Zone
63;5;Employee
63;7;Employee
63;8;Employee
63;11;Employee
64;8;Sequencer
64;9;Sequencer
64;13;Sequencer
64;2;Sequencer
64;3;Sequencer
64;4;Sequencer
64;5;Sequencer
64;7;Sequencer
64;11;Sequencer
64;10;Sequencer
65;15;Loader
65;16;Level
66;15;Resupplier
66;2;LoadingArea
67;14;TransactionRecorder
67;2;Loader
68;4;Picker
68;7;ForkliftLoad
69;6;Truck
69;7;Truck
70;1;Pallet
70;2;SpecialPallet
70;7;FasciaTruckLoad
71;13;Loader
71;16;Loader
71;1;Loader
72;11;Rack
72;7;Rack
73;12;OrderQueue
73;16;AutomotiveFactory
73;3;ListOfOrders
73;7;OrderList
