56;15;Forklift
56;11;Forklift
57;4;Loader
57;8;Loader
57;9;Loader
57;3;Loader
57;5;Loader
57;7;Loader
57;11;Loader
57;10;Loader
58;6;Aisle
58;9;Aisle
58;15;Aisle
58;10;Aisle
59;3;AdministrativeAssistant
59;5;AdministrativeAssistant
59;7;AdministrativeAssistant
59;8;AdministrativeAssistant
59;4;AdministrativeAssistant
59;16;AdministrativeAssistant
59;11;OrderProcessor
60;8;Resupplier
60;9;Resupplier
60;2;Resupplier
60;3;Replenisher
60;4;Resupplier
60;5;Resupplier
60;7;Resupplier
60;11;Resupplier
60;10;Resupplier
61;6;Zone
61;7;Zone
61;9;Zone
61;15;Zone
61;10;Zone
62;5;Employee
62;7;Employee
62;8;Employee
62;11;Employee
63;8;Sequencer
63;9;Sequencer
63;13;Sequencer
63;2;Sequencer
63;3;Sequencer
63;4;Sequencer
63;5;Sequencer
63;7;Sequencer
63;11;Sequencer
63;10;Sequencer
64;15;Loader
64;16;Level
65;14;ReplenishRequest
65;15;ReplenishRequest
66;15;Resupplier
66;2;LoadingArea
67;14;TransactionRecorder
67;2;Loader
68;4;Picker
68;7;ForkliftLoad
69;6;Truck
69;7;Truck
70;1;Pallet
70;2;SpecialPallet
70;7;FasciaTruckLoad
71;13;Loader
71;16;Loader
71;1;Loader
72;11;Rack
72;7;Rack
73;12;OrderQueue
73;16;AutomotiveFactory
73;3;ListOfOrders
73;7;OrderList
